user_id,user_screen_name,user_name,user_lang,user_geo_enabled,user_location,user_timezone,user_utc_offset,user_tweets,user_followers,user_following,user_friends,user_favorites,user_lists,user_bio,user_verified,user_protected,user_withheld_in_countries,user_withheld_scope,user_created,user_image_url,user_url,restricted_to_public,is_deleted,is_suspended,item_updated_time,not_in_search_results,blue_verified
10228272,YouTube,,,,"San Bruno, CA",,,61074,68660521,1144,1144,6016,74279,like & subscribe,1,,,,2007-11-14,https://pbs.twimg.com/profile_images/1984471345854566400/5pd8GpgC_normal.jpg,http://youtube.com/,,,,2026-05-01 09:39:10,,1
14099477,indica,,,,"Colombo, Sri Lanka",,,34197,29987,1377,1377,18533,341,Indi Samarajiva is a Sri Lankan blogger at https://t.co/8qmkNy6EmF.,,,,,2008-03-08,https://pbs.twimg.com/profile_images/1721518863924293632/gltbF69x_normal.jpg,http://indi.ca,,,,2026-05-01 09:35:42,,1
15199808,Vidyut,,,,India,,,420660,40832,247,247,4906,463,"Sci-fi writer. Creativity is life. Compassion is soul. || Aspiring social reformer || Prime Minister, #AltSarkar",,,,,2008-06-22,https://pbs.twimg.com/profile_images/1940189638385082368/jSjPxUs3_normal.jpg,https://www.amazon.com/dp/B0CD33P26X,,,,2026-05-01 09:35:40,,1
15406241,oriblum,,,,,,,2276,91,416,416,10262,1,“We are not within the circle of those you dictate to.”,,,,,2008-07-12,https://pbs.twimg.com/profile_images/1875866702426091520/m_qAPQVU_normal.jpg,,,,,2026-05-01 09:43:01,,
15896379,qcCultural,,,,Portugal,,,407730,142821,45063,45063,116855,1667,"Global Citizen, a person.
Writing, witnessing, remembering.
Saif Gaddafi.
3×3=3.",,,,,2008-08-19,https://pbs.twimg.com/profile_images/2035742618718797824/jP7GXp-A_normal.jpg,https://x.com/supporttoSaif,,,,2026-05-01 09:35:40,,1
16170253,ryangrim,,,,washington,,,101271,524474,12052,12052,27584,4507,"Reporter at @DropSiteNews - Author of ""We've Got People,” “The Squad,” and “This Is Your Country On Drugs.” Co-host of Breaking Points. Signal: cherrygarcia.01",,,,,2008-09-07,https://pbs.twimg.com/profile_images/2013721171095699456/0jmHxbH2_normal.jpg,https://dropsitenews.com,,,,2026-05-01 09:41:23,,1
16961696,b_schoendorff,,,,Occupied Turtle Island,,,59867,7317,1400,1400,66456,64,"Foot soldier, Unit 2027, Shitposting division, Psychological Brigades of the Free People of the World. 

""The final battle has begun, shitpost them to hell!""",,,,,2008-10-25,https://pbs.twimg.com/profile_images/2037647500820275200/kqh9YL5h_normal.jpg,https://resistanceisfertilepodcast.substack.com/,,,,2026-05-01 09:35:40,,1
22903712,Jordan7th,,,,🗺,,,2327,89,,,1177,7,,,,,,2009-03-05,https://pbs.twimg.com/profile_images/1955309668923854848/kijMDUAC_normal.jpg,,,,,2026-05-01 09:41:23,,1
25111140,mmahoooooit,,,,earth ,,,56978,648,1450,1450,228762,9,🇵🇸 #CEASEFIRENOW / maybe make white collar crime illegal again 🧟‍♂️ / there is no peak bullshit.,,,,,2009-03-18,https://pbs.twimg.com/profile_images/1525568909889441794/HYKYHg59_normal.jpg,https://wallstreetonparade.com,,,,2026-05-01 09:41:23,,
34743251,SpaceX,,,,Earth,,,11267,41645223,123,123,520,44652,"SpaceX designs, manufactures and launches the world’s most advanced rockets and spacecraft",1,,,,2009-04-24,https://pbs.twimg.com/profile_images/1697749409851985920/HbrI04tM_normal.jpg,http://spacex.com,,,,2026-05-01 09:35:40,,1
38492666,shawnwenzel,,,,Jamaica,,,61092,3051,1103,1103,191291,24,Canadian guy enjoying the sun in Jamaica. Management / IT consultant and president of CaribTek.,,,,,2009-05-07,https://pbs.twimg.com/profile_images/1782636240233263104/Tx7hrP4Z_normal.jpg,http://shawnwenzel.com,,,,2026-05-01 09:39:10,,
45352764,xxlilflyxx,,,,"Da South, USA",,,575,49,54,54,281,,"constitution lovin’, fiscally conservative, social liberalist who suddenly became a “radical democrat” for speaking out against Israel, Trump, & the war on Iran",,,,,2009-06-07,https://pbs.twimg.com/profile_images/253263042/mascot_normal.jpg,,,,,2026-05-01 09:39:10,,1
47565262,iranazadi,,,,,,,6600,438,1439,1439,39497,3,,,,,,2009-06-16,https://pbs.twimg.com/profile_images/272363139/tasvir2_normal.jpg,,,,,2026-05-01 09:42:19,,
